Generation,Lifetime Over 900 Cycle,Total Occumation Grade,Occupation Block of 5 Grade,Created Process Grade,Alive Process Grade,Bombing Freq Grade
2236,901,126,10,627,595,12.38888888888889
2237,901,0,0,576,396,0.0
2238,901,0,0,522,280,0.0
2239,901,100,7,624,517,6.888888888888889
2240,901,146,13,437,283,12.222222222222221
2241,901,100,9,624,517,6.888888888888889
2242,901,0,0,551,508,0.0
2243,901,0,0,601,429,0.0
2244,901,101,9,624,517,6.333333333333333
2245,901,105,6,627,521,6.833333333333333
2246,901,105,11,627,521,6.833333333333333
2247,901,105,12,627,521,6.833333333333333
2248,901,105,12,627,521,6.833333333333333
2249,901,122,26,601,552,7.222222222222222
2250,901,122,26,601,552,7.222222222222222
2251,901,0,0,380,276,0.0
2252,901,102,10,627,521,6.833333333333333
2253,901,102,10,627,521,6.833333333333333
2254,901,0,0,500,390,0.0
2255,901,102,10,627,521,6.833333333333333
2256,901,103,10,693,587,4.111111111111111
2257,901,0,0,631,520,0.0
2258,901,101,2,692,586,3.8333333333333335
2259,901,101,2,692,586,3.8333333333333335
2260,901,101,2,694,588,3.7777777777777777
2261,901,101,9,694,588,3.7777777777777777
2262,901,102,9,692,583,4.055555555555555
2263,901,101,8,694,588,3.7777777777777777
2264,901,0,0,379,293,0.0
2265,901,101,9,696,591,3.8333333333333335
2266,901,100,2,694,588,3.7777777777777777
2267,901,101,9,695,589,3.7777777777777777
2268,901,101,9,695,589,3.7777777777777777
2269,901,0,0,695,589,0.0
2270,901,0,0,694,588,0.0
2271,901,0,0,411,353,0.0
2272,901,100,7,694,588,3.7777777777777777
2273,901,117,9,692,577,3.7777777777777777
2274,901,0,0,765,671,0.0
2275,901,99,8,765,671,2.0
2276,901,99,7,765,671,1.9444444444444444
2277,901,99,8,765,671,2.0
2278,901,0,0,550,430,0.0
2279,901,98,8,673,618,3.5
2280,901,99,7,765,671,2.0
2281,901,100,7,781,719,2.8333333333333335
2282,901,100,7,781,719,2.8333333333333335
2283,901,100,8,781,719,2.8333333333333335
2284,901,99,7,781,719,2.8333333333333335
2285,901,99,7,666,533,4.611111111111111
2286,901,108,9,729,678,5.555555555555555
2287,901,0,0,640,541,0.0
2288,901,107,7,729,678,5.555555555555555
2289,901,160,11,678,618,6.388888888888889
2290,901,101,9,807,806,4.666666666666667
2291,901,107,8,729,678,5.555555555555555
2292,901,107,8,726,674,5.5
2293,901,107,1,726,674,5.5
2294,901,107,8,726,674,5.5
2295,901,107,8,729,678,5.555555555555555
2296,901,154,14,629,560,8.222222222222221
2297,901,108,2,729,678,5.555555555555555
2298,901,106,9,723,665,5.666666666666667
2299,901,108,2,729,678,5.555555555555555
2300,901,108,9,729,678,5.555555555555555
2301,901,0,0,501,448,0.0
2302,901,108,9,729,678,5.555555555555555
2303,901,0,0,726,675,0.0
2304,901,170,4,650,579,7.833333333333333
2305,901,0,0,515,364,0.0
2306,901,108,9,727,676,5.777777777777778
2307,901,108,9,727,676,5.777777777777778
2308,901,108,9,727,676,5.777777777777778
2309,901,108,9,727,676,5.777777777777778
2310,901,108,2,727,676,5.777777777777778
2311,901,108,9,727,676,5.777777777777778
2312,901,108,9,727,676,5.777777777777778
2313,901,100,9,807,807,4.722222222222222
2314,901,100,8,807,807,4.722222222222222
2315,901,100,8,807,807,4.722222222222222
2316,901,100,9,807,807,4.722222222222222
2317,901,101,9,807,807,4.722222222222222
2318,901,101,9,807,807,4.722222222222222
2319,901,100,9,807,807,4.722222222222222
2320,901,100,8,807,807,4.722222222222222
2321,901,100,8,807,807,4.722222222222222
2322,901,100,8,807,807,4.722222222222222
2323,901,109,12,616,531,7.111111111111111
2324,901,0,0,609,607,0.0
2325,901,117,12,568,484,7.277777777777778
2326,901,0,0,464,387,0.0
2327,901,106,13,683,656,6.166666666666667
2328,901,0,0,524,502,0.0
2329,901,106,15,686,668,5.833333333333333
2330,901,106,14,686,668,5.833333333333333
2331,901,0,0,697,620,0.0
2332,901,108,16,680,662,6.0
2333,901,110,16,677,659,6.111111111111111
2334,901,107,8,670,522,3.611111111111111
2335,901,107,1,670,522,3.611111111111111
2336,901,102,10,696,620,5.888888888888889
2337,901,0,0,689,612,0.0
2338,901,99,8,784,695,1.3333333333333333
2339,901,109,9,684,588,5.555555555555555
2340,901,0,0,862,862,0.0
2341,901,100,7,862,862,2.0
2342,901,0,0,801,794,0.0
2343,901,0,0,760,706,0.0
2344,901,100,8,795,781,4.611111111111111
2345,901,107,15,760,706,1.0555555555555556
2346,901,166,1,608,527,8.777777777777779
2347,901,0,0,802,795,0.0
2348,901,100,8,795,781,4.611111111111111
2349,901,99,8,802,795,4.611111111111111
2350,901,0,0,469,460,0.0
2351,901,221,16,456,415,12.333333333333334
2352,901,99,1,802,795,4.611111111111111
2353,901,164,12,597,582,7.111111111111111
2354,901,99,2,802,795,4.611111111111111
2355,901,99,8,802,795,4.611111111111111
2356,901,0,0,592,543,0.0
2357,901,99,8,802,795,4.611111111111111
2358,901,0,0,592,543,0.0
2359,901,164,14,592,543,13.833333333333334
2360,901,164,3,592,543,13.833333333333334
2361,901,164,14,592,543,13.833333333333334
2362,901,103,9,540,406,10.11111111111111
2363,901,166,3,582,530,14.11111111111111
2364,901,166,14,582,530,14.11111111111111
2365,901,0,0,592,543,0.0
2366,901,0,0,539,431,0.0
2367,901,164,14,592,543,13.833333333333334
2368,901,120,11,438,374,12.555555555555555
2369,901,120,11,438,374,12.555555555555555
2370,901,164,13,592,543,13.833333333333334
2371,901,104,10,479,461,14.166666666666666
2372,901,120,11,438,374,12.555555555555555
2373,901,104,11,479,461,14.166666666666666
2374,901,128,14,385,246,12.88888888888889
2375,901,151,8,347,185,14.833333333333334
2376,901,103,11,559,540,10.277777777777779
2377,901,103,11,559,540,10.277777777777779
2378,901,134,16,395,315,9.444444444444445
2379,901,111,13,532,492,10.11111111111111
2380,901,0,0,551,523,0.0
2381,901,101,10,551,523,10.333333333333334
2382,901,0,0,467,449,0.0
2383,901,104,4,525,506,10.444444444444445
2384,901,102,10,559,540,10.277777777777779
2385,901,107,3,464,379,12.555555555555555
2386,901,102,11,559,540,10.277777777777779
2387,901,102,10,559,540,10.277777777777779
2388,901,0,0,492,490,0.0
2389,901,102,5,559,540,10.277777777777779
2390,901,0,0,379,234,0.0
2391,901,0,0,266,84,0.0
2392,901,126,23,416,316,7.388888888888889
2393,901,137,18,460,430,13.055555555555555
2394,901,137,25,460,430,13.055555555555555
2395,901,169,30,345,267,13.166666666666666
2396,901,239,32,407,347,13.555555555555555
2397,901,0,0,461,395,0.0
2398,901,268,33,409,330,12.833333333333334
2399,901,182,20,287,229,16.666666666666668
2400,901,268,34,409,330,12.833333333333334
2401,901,0,0,0,1,0.0
2402,901,253,28,386,229,5.277777777777778
2403,901,193,23,376,313,9.88888888888889
2404,901,157,14,323,231,7.388888888888889
2405,901,157,23,323,231,7.388888888888889
2406,901,0,0,193,167,0.0
2407,901,290,19,429,256,10.38888888888889
2408,901,137,21,254,223,12.166666666666666
2409,901,201,2,121,121,5.833333333333333
2410,901,137,22,254,223,12.166666666666666
2411,901,168,28,275,233,11.777777777777779
2412,901,148,26,227,198,11.944444444444445
2413,901,148,27,227,198,11.944444444444445
2414,901,134,23,230,206,12.11111111111111
2415,901,0,0,202,169,0.0
2416,901,134,27,230,206,12.11111111111111
2417,901,252,23,152,32,8.555555555555555
2418,901,248,20,257,181,9.222222222222221
2419,901,0,0,192,140,0.0
2420,901,143,25,206,153,15.666666666666666
2421,901,0,0,184,122,0.0
2422,901,0,0,0,1,0.0
2423,901,310,23,282,112,0.8333333333333334
2424,901,140,27,168,88,14.944444444444445
2425,901,202,29,252,160,13.61111111111111
2426,901,202,27,252,160,13.61111111111111
2427,901,202,28,252,160,13.61111111111111
2428,901,202,28,252,160,13.61111111111111
2429,901,172,17,238,184,12.333333333333334
2430,901,202,22,252,160,13.61111111111111
2431,901,156,20,214,197,12.61111111111111
2432,901,0,0,243,27,0.0
2433,901,0,0,250,155,0.0
2434,901,303,21,250,155,10.055555555555555
2435,901,303,21,250,155,10.055555555555555
2436,901,0,0,163,84,0.0
2437,901,148,24,158,97,5.333333333333333
2438,901,303,21,250,155,10.055555555555555
2439,901,303,21,250,155,10.055555555555555
2440,901,214,17,315,160,0.05555555555555555
2441,901,232,18,285,183,11.444444444444445
2442,901,300,22,285,183,11.444444444444445
2443,901,232,18,285,183,11.444444444444445
2444,901,338,24,285,183,11.277777777777779
2445,901,0,0,60,60,0.0
2446,901,338,24,285,183,11.444444444444445
2447,901,229,17,285,55,7.611111111111111
2448,901,0,0,281,48,0.0
2449,901,0,0,285,183,0.0
2450,901,291,22,234,95,10.777777777777779
2451,901,0,0,285,183,0.0
2452,901,0,0,285,183,0.0
2453,901,0,0,285,183,0.0
2454,901,301,3,285,183,11.444444444444445
2455,901,0,0,312,226,0.0
2456,901,0,0,312,226,0.0
2457,901,302,22,312,226,11.944444444444445
2458,901,302,22,312,226,11.944444444444445
2459,901,0,0,307,97,0.0
2460,901,283,21,202,45,10.88888888888889
2461,901,295,22,269,159,11.444444444444445
2462,901,325,23,319,167,13.11111111111111
2463,901,325,23,319,167,13.11111111111111
2464,901,325,22,319,167,13.11111111111111
2465,901,325,23,319,167,13.11111111111111
2466,3,0,0,0,0,0.0
2467,901,288,37,265,240,11.777777777777779
2468,901,288,36,265,240,11.777777777777779
2469,901,311,43,274,240,12.166666666666666
2470,901,300,38,272,236,11.944444444444445
2471,901,0,0,280,88,0.0
